"Reference","Value","Footprint","Manufacturer","MPN","LCSC","Datasheet"
"C1","100uf","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Generic","","",""
"C2","470uf","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Generic","","",""
"C3","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","YAGEO","CC0805KRX7R9BB104","C49678","https://www.lcsc.com/datasheet/C49678.pdf"
"D1","1.5KE6.8A","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","Littelfuse","1.5KE6.8A","","https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7"
"F1","2A","Fuse:Fuse_Bourns_MF-RG300","Littelfuse","RHEF200","","https://www.littelfuse.com/assetdocs/resettable-ptc-rhef-datasheet?assetguid=5c5a29fe-1611-4d65-b4ce-dc979c44d206"
"J2","Audio","nes1:PJRAN1X1U03X","Switchcraft","PJRAN1X1U03X","","https://www.switchcraft.com/assets/1/24/PJRAN1X1U__X_SERIES_CD.PDF"
"J3","Video","nes1:PJRAN1X1U03X","Switchcraft","PJRAN1X1U03X","","https://www.switchcraft.com/assets/1/24/PJRAN1X1U__X_SERIES_CD.PDF"
"J4","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic","","",""
"J5","RGB conn feed","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic","","",""
"Q1","2SA733","Package_TO_SOT_THT:TO-92_Inline","UTC (Unisonic)","2SA733L-P-T92-B","C5310429","https://www.unisonic.com.tw/uploadfiles/836/part_no_pdf/2SA733.pdf"
"R1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"R2","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"R3","5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"R4","5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"R5","75 Ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"R6","22k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","UNI-ROYAL","0805W8F2202T5E","C17560","https://www.lcsc.com/datasheet/C17560.pdf"
"R7","75 Ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Generic","","",""
"U1","TPS2553DBV","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","Texas Instruments","TPS2553DBVR","C55266","https://www.ti.com/lit/ds/symlink/tps2553.pdf"
"USB-C1","USB4970-00-A","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","GCT","USB4970-00-A","","https://gct.co/files/drawings/usb4970.pdf"
