Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uf","CP_Radial_D10.0mm_P5.00mm",21.832300,-24.700000,0.000000,top
"C2","470uf","CP_Radial_D10.0mm_P5.00mm",25.532300,-67.100000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.700000,-39.150000,0.000000,top
"D1","1.5KE6.8A","D_DO-201AE_P15.24mm_Horizontal",23.120000,-45.000000,0.000000,top
"F1","2A","Fuse_Bourns_MF-RG300",35.532300,-24.900000,0.000000,top
"J2","Audio","PJRAN1X1U03X",70.050000,-42.234000,180.000000,top
"J3","Video","PJRAN1X1U03X",69.050000,-68.834000,180.000000,top
"J4","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",70.000000,-22.000000,0.000000,top
"J5","RGB conn feed","PinHeader_1x03_P2.54mm_Vertical",38.000000,-74.000000,90.000000,top
"Q1","2SA733","TO-92_Inline",42.460000,-46.000000,0.000000,top
"R1","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",38.290000,-56.000000,0.000000,top
"R2","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",49.000000,-39.000000,180.000000,top
"R3","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",21.790000,-34.700000,0.000000,top
"R4","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",35.000000,-35.000000,0.000000,top
"R5","75 Ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",50.675000,-55.925000,0.000000,top
"R6","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.000000,-39.150000,0.000000,top
"R7","75 Ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",48.000000,-70.000000,180.000000,top
"U1","TPS2553DBV","SOT-23-6_Handsoldering",27.800000,-39.150000,0.000000,top
"USB-C1","USB4970-00-A","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",49.400000,-22.400000,180.000000,top
